MDM New Track Replacement,Most Current Budget,,5/17/2024 est
Total Approved Project Budget,"$850,000.00",,
Base Bid Plus Alts:,"$541,926.00",,"$541,926.00"
construction Reserve (10%),"$54,192.60",,"$54,192.60"
Sales Tax (10.6%),"$62,592.45",,
Construction Cost Subtotal:,"$1,508,711.05",,
CPO Management (8%),"$120,696.88",,
Principal Stipends,"$5,000.00",,
Design,"$50,620.00",,"$50,620.00"
Design Contigency,"$10,000.00",,"$10,000.00"
Permit,"$10,000.00",,"$10,000.00"
BRH,"$11,500.00",,"$11,500.00"
Consultant 02,$0.00,,0
Consultant 03,$0.00,,0
Maintenance,$0.00,,0
Custodial,$0.00,,0
Other,$0.00,,0
Other Cost Subtotal:,"$87,120.00",,
Total Project Cost:,"$810,857.89",,
Remainder,"$39,142.11",,
Most Current Date,5/17/2024 est,,